Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,39.632500,39.840000,39.119999,39.435001,38.338478,140014000
2019-01-02,38.722500,39.712502,38.557499,39.480000,38.382229,148158800
2019-01-03,35.994999,36.430000,35.500000,35.547501,34.559078,365248800
2019-01-04,36.132500,37.137501,35.950001,37.064999,36.034370,234428400
2019-01-07,37.174999,37.207500,36.474998,36.982498,35.954170,219111200
2019-01-08,37.389999,37.955002,37.130001,37.687500,36.639565,164101200
2019-01-09,37.822498,38.632500,37.407501,38.327499,37.261772,180396400
2019-01-10,38.125000,38.492500,37.715000,38.450001,37.380867,143122800
2019-01-11,38.220001,38.424999,37.877499,38.072498,37.013863,108092800
2019-01-14,37.712502,37.817501,37.305000,37.500000,36.457287,129756800
2019-01-15,37.567501,38.347500,37.512501,38.267502,37.203442,114843600
2019-01-16,38.270000,38.970001,38.250000,38.735001,37.657940,122278800
2019-01-17,38.549999,39.415001,38.314999,38.965000,37.881542,119284800
2019-01-18,39.375000,39.470001,38.994999,39.205002,38.114872,135004000
2019-01-22,39.102501,39.182499,38.154999,38.325001,37.259346,121576000
2019-01-23,38.537498,38.785000,37.924999,38.480000,37.410030,92522400
2019-01-24,38.527500,38.619999,37.935001,38.174999,37.113518,101766000
2019-01-25,38.869999,39.532501,38.580002,39.439999,38.343330,134142000
2019-01-28,38.947498,39.082500,38.415001,39.075001,37.988491,104768400
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.594753,166348800
2019-01-30,40.812500,41.537498,40.057499,41.312500,40.163769,244439200
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.453007,162958400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.472450,130672400
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.622059,125982000
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.334198,144406400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.348778,112958400
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.546719,126966800
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.595535,95280000
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.356327,83973600
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.712708,89134000
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.539394,89960800
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.690739,87342800
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.597973,98507200
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.722466,75891200
2019-02-20,42.797501,43.330002,42.747501,43.007500,41.990967,104457600
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.754196,68998800
2019-02-22,42.895000,43.250000,42.845001,43.242500,42.220417,75652800
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.527966,87493600
2019-02-26,43.427502,43.825001,43.292500,43.582500,42.552376,68280800
2019-02-27,43.302502,43.750000,43.182499,43.717499,42.684185,111341600
2019-02-28,43.580002,43.727501,43.230000,43.287498,42.264351,112861600
2019-03-01,43.570000,43.787498,43.222500,43.742500,42.708599,103544800
2019-03-04,43.922501,44.437500,43.492500,43.962502,42.923389,109744800
2019-03-05,43.985001,44.000000,43.634998,43.882500,42.845276,78949600
2019-03-06,43.667500,43.872501,43.485001,43.630001,42.598755,83241600
2019-03-07,43.467499,43.610001,43.005001,43.125000,42.105690,99185600
2019-03-08,42.580002,43.267502,42.375000,43.227501,42.205765,95997600
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.667873,128044000
2019-03-12,45.000000,45.667500,44.842499,45.227501,44.158497,129870400
2019-03-13,45.562500,45.825001,45.230000,45.427502,44.353764,124130000
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.846821,94318000
2019-03-15,46.212502,46.832500,45.935001,46.529999,45.430202,156171600
2019-03-18,46.450001,47.097500,46.447498,47.005001,45.893982,104879200
2019-03-19,47.087502,47.247501,46.480000,46.632500,45.530289,126585600
2019-03-20,46.557499,47.372501,46.182499,47.040001,45.928154,124140800
2019-03-21,47.505001,49.082500,47.452499,48.772499,47.619701,204136800
2019-03-22,48.834999,49.422501,47.695000,47.762501,46.633575,169630800
2019-03-25,47.877499,47.994999,46.650002,47.185001,46.069717,175381200
2019-03-26,47.915001,48.220001,46.145000,46.697498,45.593746,199202000
2019-03-27,47.187500,47.439999,46.637501,47.117500,46.003822,119393600
2019-03-28,47.237499,47.389999,46.882500,47.180000,46.064842,83121600
2019-03-29,47.457500,47.520000,47.134998,47.487499,46.365074,94256000
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.679958,111448000
